quarter,gdp_level,gdp_yoy,gdp_qoq,cpi_yoy
2018Q1,544941.3,,,2.055713
2018Q2,549192.0,,0.7800289682576844,2.3000453333333333
2018Q3,551962.3,,0.5044319655056917,2.6810573333333334
2018Q4,553262.5,,0.23555956629646158,2.035978
2019Q1,554594.0,1.7713283981228622,0.24066333792729377,1.6110736666666667
2019Q2,560665.5,2.0891600751649753,1.0947648189486348,2.1484216666666667
2019Q3,562233.3,1.8608154941016863,0.27963197307485643,1.9392296666666666
2019Q4,563838.5,1.911570005196439,0.28550425597344553,2.0951470000000003
2020Q1,552844.0,-0.3155461472716947,-1.9499377924707129,1.8125356666666665
2020Q2,492031.5,-12.241523689258571,-10.999938499829975,0.024562566666666674
2020Q3,536725.3,-4.536906654230544,9.083524123963628,0.26871139999999993
2020Q4,546807.0,-3.0206344547241804,1.8783724188146111,0.7816916666666667
2021Q1,556122.3,0.5929882570851808,1.7035809709824656,1.4370960000000002
2021Q2,555470.5,12.893280206653435,-0.11720443506761935,3.3504496666666665
2021Q3,566660.5,5.577378223087304,2.0145084212392916,4.062517666666667
2021Q4,576806.0,5.486213600045353,1.7904018367258745,4.726148333333334
2022Q1,582786.5,4.794664770680823,1.036830407450684,5.828972666666668
2022Q2,589416.5,6.111215627112521,1.1376378828267253,7.544885666666666
2022Q3,594183.5,4.857052856163424,0.8087659575189976,7.153388666666667
2022Q4,594557.3,3.0775165306879737,0.06290985865478049,6.6651126666666665
2023Q1,600816.0,3.093671524649255,1.0526655715100919,5.154069333333333
2023Q2,601774.8,2.0967007201189825,0.15958296716467313,3.525214333333333
2023Q3,602076.5,1.3283775130073394,0.050135033903031534,3.6871716666666665
2023Q4,602387.8,1.3170303350072299,0.051704393046403396,3.2114306666666668
2024Q1,606777.0,0.9921506750818931,0.7286336144257888,2.846596
2024Q2,611728.3,1.6540240634868697,0.8159999472623358,2.74114
2024Q3,616739.3,2.435371584840129,0.8191545168010128,2.0412646666666667
2024Q4,621065.3,3.1005774021319876,0.701430896328481,1.9129293333333333
