quarter,cpi_yoy
2018Q1,2.055713
2018Q2,2.3000453333333333
2018Q3,2.6810573333333334
2018Q4,2.035978
2019Q1,1.6110736666666667
2019Q2,2.1484216666666667
2019Q3,1.9392296666666666
2019Q4,2.0951470000000003
2020Q1,1.8125356666666665
2020Q2,0.024562566666666674
2020Q3,0.26871139999999993
2020Q4,0.7816916666666667
2021Q1,1.4370960000000002
2021Q2,3.3504496666666665
2021Q3,4.062517666666667
2021Q4,4.726148333333334
2022Q1,5.828972666666668
2022Q2,7.544885666666666
2022Q3,7.153388666666667
2022Q4,6.6651126666666665
2023Q1,5.154069333333333
2023Q2,3.525214333333333
2023Q3,3.6871716666666665
2023Q4,3.2114306666666668
2024Q1,2.846596
2024Q2,2.74114
2024Q3,2.0412646666666667
2024Q4,1.9129293333333333
