ticker,company,sector,year,revenue,net_income,gross_profit,capex,operating_cf,net_margin,capex_to_revenue,sentiment_score,sentiment_pos,sentiment_neg,sentiment_neu,gdp_level_q4,gdp_yoy,cpi_yoy_annual
BYD.TO,Boyd Group Services Inc.,Consumer Cyclical,2023,2945988000.0,86656000.0,1340064000.0,-59166000.0,357545000.0,0.0294149195448182,0.0200835848618528,0.2726,0.3239,0.0512,0.6249,602387.8,1.31703033500723,3.8944715
BYD.TO,Boyd Group Services Inc.,Consumer Cyclical,2024,3070342000.0,24544000.0,1396508000.0,-80457000.0,313325000.0,0.0079938977481987,0.0262045726502129,0.2726,0.3239,0.0512,0.6249,621065.3,3.100577402131988,2.3854825
BYD.TO,Boyd Group Services Inc.,Consumer Cyclical,2025,3142794000.0,18420000.0,1458594000.0,-62400000.0,352989000.0,0.0058610268442665,0.0198549443584275,0.2726,0.3239,0.0512,0.6249,,,
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,2022,0.0,19000000.0,37000000.0,-13000000.0,-374000000.0,,,0.2462,0.2688,0.0226,0.7086,594557.3,3.0775165306879737,6.798089916666667
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,2023,3714000000.0,1839000000.0,2666000000.0,,1439000000.0,0.4951534733441033,,,,,,602387.8,1.31703033500723,3.8944715
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,2024,3989000000.0,2168000000.0,2835000000.0,,1612000000.0,0.5434946101779895,,,,,,621065.3,3.100577402131988,2.3854825
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,2025,4608000000.0,2485000000.0,3235000000.0,,2101000000.0,0.5392795138888888,,,,,,,,
BN.TO,Brookfield Corporation,Financial Services,2022,92769000000.0,2056000000.0,14258000000.0,-7236000000.0,8751000000.0,0.0221625758604706,0.0780001940303334,0.1645,0.2001,0.0356,0.7643,594557.3,3.0775165306879737,6.798089916666667
BN.TO,Brookfield Corporation,Financial Services,2023,95924000000.0,1130000000.0,14515000000.0,-8069000000.0,6467000000.0,0.0117801592927734,0.0841186772861849,0.1645,0.2001,0.0356,0.7643,602387.8,1.31703033500723,3.8944715
BN.TO,Brookfield Corporation,Financial Services,2024,86006000000.0,641000000.0,18070000000.0,-11172000000.0,7569000000.0,0.0074529683975536,0.1298979140990163,0.1645,0.2001,0.0356,0.7643,621065.3,3.100577402131988,2.3854825
