ticker,company,sector,employees,year,revenue,net_income,gross_profit,capex,operating_cf,net_margin,capex_to_revenue
PBH.TO,Premium Brands Holdings Corporation,Consumer Defensive,12036.0,2024,6470500000.0,121500000.0,1292600000.0,-364800000.0,253100000.0,0.018777528784483424,0.05637895062205394
PBH.TO,Premium Brands Holdings Corporation,Consumer Defensive,12036.0,2025,7477200000.0,40500000.0,1388500000.0,-219000000.0,93600000.0,0.005416466056812711,0.029289038677579843
PPL.TO,Pembina Pipeline Corporation,Energy,2974.0,2022,11611000000.0,2971000000.0,3123000000.0,-605000000.0,2929000000.0,0.2558780466798725,0.052105761777624666
PPL.TO,Pembina Pipeline Corporation,Energy,2974.0,2023,6331000000.0,1776000000.0,2840000000.0,-606000000.0,2635000000.0,0.28052440372768916,0.09571947559627231
PPL.TO,Pembina Pipeline Corporation,Energy,2974.0,2024,7384000000.0,1864000000.0,3316000000.0,-955000000.0,3214000000.0,0.2524377031419285,0.12933369447453955
PPL.TO,Pembina Pipeline Corporation,Energy,2974.0,2025,7778000000.0,1694000000.0,3193000000.0,-784000000.0,3301000000.0,0.21779377732064797,0.10079712008228336
REI-UN.TO,RioCan Real Estate Investment Trust,Real Estate,516.0,2022,1213847000.0,236772000.0,712692000.0,-392973000.0,506124000.0,0.19505917961654146,0.32374178953360677
REI-UN.TO,RioCan Real Estate Investment Trust,Real Estate,516.0,2023,1123871000.0,38802000.0,714408000.0,-390998000.0,385516000.0,0.03452531473807937,0.34790291768361314
REI-UN.TO,RioCan Real Estate Investment Trust,Real Estate,516.0,2024,1239526000.0,473465000.0,740948000.0,-296938000.0,378280000.0,0.3819726250195639,0.23955770189572465
REI-UN.TO,RioCan Real Estate Investment Trust,Real Estate,516.0,2025,1436571000.0,69295000.0,798716000.0,-253034000.0,434068000.0,0.04823639068309189,0.17613748293679882
RY.TO,Royal Bank of Canada,Financial Services,97469.0,2022,48775000000.0,15794000000.0,,-2500000000.0,21942000000.0,0.3238134290107637,0.051255766273705795
RY.TO,Royal Bank of Canada,Financial Services,97469.0,2023,51591000000.0,14605000000.0,,-2730000000.0,26079000000.0,0.2830920121726658,0.052916206315054955
RY.TO,Royal Bank of Canada,Financial Services,97469.0,2024,57491000000.0,16230000000.0,,-2280000000.0,23139000000.0,0.28230505644361725,0.03965838131185751
RY.TO,Royal Bank of Canada,Financial Services,97469.0,2025,66532000000.0,20362000000.0,,-2243000000.0,55220000000.0,0.3060482173991463,0.03371310046293513
SHOP.TO,Shopify Inc.,Technology,7600.0,2022,5600000000.0,-3460000000.0,2754000000.0,-50000000.0,-136000000.0,-0.6178571428571429,0.008928571428571428
SHOP.TO,Shopify Inc.,Technology,7600.0,2023,7060000000.0,132000000.0,3515000000.0,-39000000.0,944000000.0,0.018696883852691217,0.005524079320113315
SHOP.TO,Shopify Inc.,Technology,7600.0,2024,8880000000.0,2019000000.0,4472000000.0,-19000000.0,1616000000.0,0.22736486486486487,0.0021396396396396395
SHOP.TO,Shopify Inc.,Technology,7600.0,2025,11556000000.0,1231000000.0,5555000000.0,-26000000.0,2033000000.0,0.10652474904811353,0.002249913464866736
SLF.TO,Sun Life Financial Inc.,Financial Services,32151.0,2022,3429000000.0,3024000000.0,,,4311000000.0,0.8818897637795275,
SLF.TO,Sun Life Financial Inc.,Financial Services,32151.0,2023,36354000000.0,3343000000.0,,-172000000.0,5612000000.0,0.0919568685701711,0.004731253782252297
SLF.TO,Sun Life Financial Inc.,Financial Services,32151.0,2024,34483000000.0,3171000000.0,,-143000000.0,2532000000.0,0.09195835629150596,0.004146970971203202
SLF.TO,Sun Life Financial Inc.,Financial Services,32151.0,2025,38447000000.0,3745000000.0,,-145000000.0,2799000000.0,0.09740681977787603,0.0037714255988763753
STN.TO,Stantec Inc.,Industrials,34000.0,2022,5677200000.0,247000000.0,2417300000.0,-74900000.0,304300000.0,0.04350736278447122,0.013193123370675686
STN.TO,Stantec Inc.,Industrials,34000.0,2023,6479600000.0,316500000.0,2744700000.0,-100600000.0,520000000.0,0.048845607753565036,0.015525649731464905
STN.TO,Stantec Inc.,Industrials,34000.0,2024,7500000000.0,361500000.0,3195700000.0,-99000000.0,603100000.0,0.0482,0.0132
STN.TO,Stantec Inc.,Industrials,34000.0,2025,8144200000.0,479400000.0,3529000000.0,-71900000.0,862900000.0,0.058863976817858106,0.008828368654993738
SU.TO,Suncor Energy Inc.,Energy,15424.0,2022,62907000000.0,9077000000.0,26874000000.0,-5120000000.0,15680000000.0,0.1442923680989397,0.08138998839556806
